,Date,Open,High,Low,Close,Adj Close,Volume
0,2022-01-03,17387.150391,17646.650391,17383.300781,17625.699219,17625.699219,200500
1,2022-01-04,17681.400391,17827.599609,17593.550781,17805.25,17805.25,247400
2,2022-01-05,17820.099609,17944.699219,17748.849609,17925.25,17925.25,251500
3,2022-01-06,17768.5,17797.949219,17655.550781,17745.900391,17745.900391,236500
4,2022-01-07,17797.599609,17905.0,17704.550781,17812.699219,17812.699219,239300
5,2022-01-10,17913.300781,18017.449219,17879.150391,18003.300781,18003.300781,232400
6,2022-01-11,17997.75,18081.25,17964.400391,18055.75,18055.75,220200
7,2022-01-12,18170.400391,18227.949219,18128.800781,18212.349609,18212.349609,245000
8,2022-01-13,18257.0,18272.25,18163.800781,18257.800781,18257.800781,303700
9,2022-01-14,18185.0,18286.949219,18119.650391,18255.75,18255.75,229500
10,2022-01-17,18235.650391,18321.550781,18228.75,18308.099609,18308.099609,266700
11,2022-01-18,18337.199219,18350.949219,18085.900391,18113.050781,18113.050781,227500
12,2022-01-19,18129.199219,18129.199219,17884.900391,17938.400391,17938.400391,276700
13,2022-01-20,17921.0,17943.699219,17648.449219,17757.0,17757.0,258100
14,2022-01-21,17613.699219,17707.599609,17485.849609,17617.150391,17617.150391,277600
15,2022-01-24,17575.150391,17599.400391,16997.849609,17149.099609,17149.099609,323800
16,2022-01-25,17001.550781,17309.150391,16836.800781,17277.949219,17277.949219,326500
17,2022-01-27,17062.0,17182.5,16866.75,17110.150391,17110.150391,395600
18,2022-01-28,17208.300781,17373.5,17077.099609,17101.949219,17101.949219,355300
19,2022-01-31,17301.050781,17410.0,17264.150391,17339.849609,17339.849609,321700
20,2022-02-01,17529.449219,17622.400391,17244.550781,17576.849609,17576.849609,386400
21,2022-02-02,17706.199219,17794.599609,17674.800781,17780.0,17780.0,271200
22,2022-02-03,17767.75,17781.150391,17511.150391,17560.199219,17560.199219,226600
23,2022-02-04,17590.199219,17617.800781,17462.550781,17516.300781,17516.300781,261400
24,2022-02-07,17456.300781,17536.75,17119.400391,17213.599609,17213.599609,265000
25,2022-02-08,17279.849609,17306.449219,17043.650391,17266.75,17266.75,268500
26,2022-02-09,17370.099609,17477.150391,17339.0,17463.800781,17463.800781,236400
27,2022-02-10,17554.099609,17639.449219,17427.150391,17605.849609,17605.849609,273600
28,2022-02-11,17451.0,17454.75,17303.0,17374.75,17374.75,253100
29,2022-02-14,17076.150391,17099.5,16809.650391,16842.800781,16842.800781,305500
30,2022-02-15,16933.25,17375.0,16839.25,17352.449219,17352.449219,298700
31,2022-02-16,17408.449219,17490.599609,17257.699219,17322.199219,17322.199219,244500
32,2022-02-17,17396.550781,17442.900391,17235.849609,17304.599609,17304.599609,232100
33,2022-02-18,17236.050781,17380.800781,17219.199219,17276.300781,17276.300781,189600
34,2022-02-21,17192.25,17351.050781,17070.699219,17206.650391,17206.650391,215200
35,2022-02-22,16847.949219,17148.550781,16843.800781,17092.199219,17092.199219,300100
36,2022-02-23,17194.5,17220.699219,17027.849609,17063.25,17063.25,200200
37,2022-02-24,16548.900391,16705.25,16203.25,16247.950195,16247.950195,458000
38,2022-02-25,16515.650391,16748.800781,16478.300781,16658.400391,16658.400391,329800
39,2022-02-28,16481.599609,16815.900391,16356.299805,16793.900391,16793.900391,404200
40,2022-03-02,16593.099609,16678.5,16478.650391,16605.949219,16605.949219,517700
41,2022-03-03,16723.199219,16768.949219,16442.949219,16498.050781,16498.050781,442100
42,2022-03-04,16339.450195,16456.0,16133.799805,16245.349609,16245.349609,456100
